question,answer
hi,Hello! How can I help you?
hello,Hello! How can I help you?
hey,Hello! How can I help you?
whats up,I'm doing great! How can I assist you today?
courses,"We offer courses in Java, Python, and JavaScript."
course batch batches,We have multiple batches available. Please ask for specific course timing.
python course fees cost,The Python course fee is 11800/-.
java course fees cost,The Java course fee is 14160/-.
js course fees cost,The JavaScript course fee is 11800/-.
python batch timing info information,"Python batch runs from 23rd Feb to 20th March, Monday to Friday, 9pm to 11pm."
